center,links,pi,title
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01996-7/fulltext>>,,Editorial Board
"Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Gastroenterology department at the Military Hospital of Tunis, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01252-7/fulltext>>,"A. Zribi,A. Zribi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Ben Nasr,S. Ben Nasr,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,M. Ahmed,M. Ahmed,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Fendri,S. Fendri,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,M. Balti,M. Balti,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,N. Mansouri,N. Mansouri,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Bizid,S. Bizid,Affiliations,Gastroenterology department at the Military Hospital of Tunis, Tunis, Tunisia,Search for articles by this author,A. Haddauoi,A. Haddauoi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author, ",P-8 Nutritional status among colorectal cancer patients in Tunisia
"Universidad Privada San Juan Bautista - Escuela de Medicina Humana, Lima, Peru,Universidad Privada San Juan Bautista - Escuela de Medicina Humana, Lima, Peru,Facultad de Medicina Humana - Universidad Científica del Sur, Lima - Peru, Peru,Oncosalud - AUNA, Lima - Peru, Peru",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01250-3/fulltext>>,"C. Flores,C. Flores,Affiliations,Universidad Privada San Juan Bautista - Escuela de Medicina Humana, Lima, Peru,Search for articles by this author,D. Enriquez,D. Enriquez,Affiliations,Universidad Privada San Juan Bautista - Escuela de Medicina Humana, Lima, Peru,Search for articles by this author,L. Chirinos,L. Chirinos,Affiliations,Facultad de Medicina Humana - Universidad Científica del Sur, Lima - Peru, Peru,Search for articles by this author,R. Roque,R. Roque,Affiliations,Oncosalud - AUNA, Lima - Peru, Peru,Search for articles by this author, ",P-6 Spatio-temporal distribution pattern of pancreatic cancer mortality rate in Peru between 2003-2017
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01256-4/fulltext>>,"O. Ge,O. Ge,Affiliations,Charité Universitätsmedizin Berlin, Berlin, Germany,Search for articles by this author,Y. Ye,Y. Ye,Affiliations,Charité Universitätsmedizin Berlin, Berlin, Germany,Search for articles by this author, ",P-12 Long intergenic non-protein coding RNA 1094 regulates the progression of gastric cancer
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01255-2/fulltext>>,"W. Ben Kridis,W. Ben Kridis,Affiliations,Habib Bourguiba University Hospital, Sfax, Tunisia,Search for articles by this author,S. Masmoudi,S. Masmoudi,Affiliations,Habib Bourguiba University Hospital, Sfax, Tunisia,Search for articles by this author,S. Khmiri,S. Khmiri,Affiliations,Habib Bourguiba University Hospital, Sfax, Tunisia,Search for articles by this author,A. Khanfir,A. Khanfir,Affiliations,Habib Bourguiba University Hospital, Sfax, Tunisia,Search for articles by this author, ",P-11 GAME score in patients with liver metastases from colorectal cancer
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01254-0/fulltext>>,"A. Zribi,A. Zribi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Ben Nasr,S. Ben Nasr,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,M. Ahmed,M. Ahmed,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,N. Mansouri,N. Mansouri,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,M. Balti,M. Balti,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Fendri,S. Fendri,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,A. Haddauoi,A. Haddauoi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author, ",P-10 Prevalence and risk factors of chronic neuropathy in 225 colorectal cancer patients treated with oxaliplatin-based regimens in Tunisia
"Medical Oncology Department, Farhat Hached Hospital, Sousse, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Gastroenterology department at the Military Hospital of Tunis, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01253-9/fulltext>>,"R. Melliti,R. Melliti,Affiliations,Medical Oncology Department, Farhat Hached Hospital, Sousse, Tunisia,Search for articles by this author,A. Zribi,A. Zribi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Ben Nasr,S. Ben Nasr,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,M. Ahmed,M. Ahmed,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Fendri,S. Fendri,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,M. Balti,M. Balti,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,N. Mansouri,N. Mansouri,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Bizid,S. Bizid,Affiliations,Gastroenterology department at the Military Hospital of Tunis, Tunis, Tunisia,Search for articles by this author,A. Haddauoi,A. Haddauoi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author, ",P-9 Prognostic role of preoperative inflammation parameters in predicting postoperative complications of colorectal cancer surgery
"Nasser Institute for Research and Treatment, Shobra, Egypt,Dataclin research organization, Heliopolis, Egypt,Nasser Institute for Research and Treatment, Shobra, Egypt,Graduate School of Statistical Research, Giza, Egypt",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01251-5/fulltext>>,"R. Aboelhassan,R. Aboelhassan,Affiliations,Nasser Institute for Research and Treatment, Shobra, Egypt,Search for articles by this author,S. Ali,S. Ali,Affiliations,Dataclin research organization, Heliopolis, Egypt,Search for articles by this author,M. Ali,M. Ali,Affiliations,Nasser Institute for Research and Treatment, Shobra, Egypt,Search for articles by this author,N. Abdel-Fatah,N. Abdel-Fatah,Affiliations,Graduate School of Statistical Research, Giza, Egypt,Search for articles by this author, ",P-7 How much can GIT cancer patients afford for effective and safe treatment?
,<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01249-7/fulltext>>,"A. Zribi,A. Zribi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Ben Rhouma,S. Ben Rhouma,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,I. Nsaibi,I. Nsaibi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Ben Nasr,S. Ben Nasr,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Fendri,S. Fendri,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,M. Balti,M. Balti,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,A. Haddauoi,A. Haddauoi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author, ",P-5 The use of complementary and alternative medicine among colorectal cancer patients in Tunisia
"Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Gastroenterology department at the Military Hospital of Tunis, Tunis, Tunisia,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia",<bound method TextResponse.css of <200 https://www.annalsofoncology.org/article/S0923-7534(21)01248-5/fulltext>>,"S. Ben Nasr,S. Ben Nasr,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,A. Kallala,A. Kallala,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,I. Ben Abdallah,I. Ben Abdallah,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,A. Zribi,A. Zribi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Alibi,S. Alibi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,M. Balti,M. Balti,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Fendri,S. Fendri,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,I. Msekni,I. Msekni,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author,S. Bizid,S. Bizid,Affiliations,Gastroenterology department at the Military Hospital of Tunis, Tunis, Tunisia,Search for articles by this author,A. Haddauoi,A. Haddauoi,Affiliations,Université de Tunis El Manar, Faculté de Médecine de Tunis, The Military Hospital of Tunis, Department of Medical Oncology, Tunis, Tunisia,Search for articles by this author, ",P-4 Prognostic and therapeutic values of tumor-infiltrating lymphocytes in localized colon cancer
